DetectorID,RoadType,Location
207.1.63,Freeway,I-515 NB between I-515 NB Eastern Off-Ramp and I-515 NB Eastern On-Ramp
204.1.64,Freeway,I-515 SB between I-515 SB Eastern Off-Ramp and I-515 SB Eastern On-Ramp
206.1.64,On-Ramp,I-515 SB Eastern On-Ramp between Eastern Avenue and I-515 SB
489.2.255,Freeway,CC-215 WB between Arroyo Grande Blvd and Valle Verde Dr
484.1.255,Freeway,CC-215 EB between Valle Verde Dr and Arroyo Grande Blvd
489.1.256,Freeway,CC-215 WB between Stephanie Street and Arroyo Grande Blvd
484.2.256,Freeway,CC-215 EB between Arroyo Grande Blvd and Stephanie Street
488.2.257,Freeway,CC-215 WB between Drawback St and Stephanie Street
485.1.257,Freeway,CC-215 EB between Stephanie Street and Drawback St
487.2.259,Freeway,CC-215 WB between La Laguna St and Gibson Rd
486.1.259,Freeway,CC-215 EB between Gibson Rd and La Laguna St
487.1.260,Freeway,CC-215 WB between Great Basin Hwy and La Laguna St
486.2.260,Freeway,CC-215 EB between La Laguna St and Great Basin Hwy
476.1.261,Freeway,CC-215 WB between Windmill Ln and Warm Springs Road
479.2.261,Freeway,CC-215 EB between Warm Springs Road and Windmill Ln
476.2.262,Freeway,CC-215 WB between Windmill Ln and Warm Springs Road
479.1.262,Freeway,CC-215 EB between Warm Springs Road and Windmill Ln
495.1.263,Interchange,215 WB to AC NB between CC-215 WB and AC NB
477.1.263,Freeway,CC-215 WB between Warm Springs Road and Mccarran Airport Conn Rd
6.2.264,Freeway,CC-215 EB between I-215 EB to I-15 NB Ramp and I-15 NB to I-215 EB Ramp
7.1.264,Freeway,CC-215 WB between Las Vegas Boulevard and I-215 WB to I-15 SB Ramp
500.1.265,Freeway,AC NB between Pilot SB and Sunset Road
496.2.266,Interchange,215 EB to AC NB between CC-215 EB and AC NB
495.2.266,Interchange,215 WB to AC NB between AC SB and CC-215 WB
10.2.268,Freeway,CC-215 WB between I-215 EB Decatur Off-Ramp and I-215 EB Decatur On-Ramp
2.1.268,Freeway,CC-215 EB between I-215 EB Decatur Off-Ramp and I-215 EB Decatur On-Ramp
507.2.269,Freeway,CC-215 EB between Torrey Pines Drive and Jones Boulevard
502.1.269,Freeway,CC-215 WB between Jones Boulevard and Torrey Pines Drive
502.2.270,Freeway,CC-215 WB between Torrey Pines Drive and Rainbow Boulevard
507.1.270,Freeway,CC-215 EB between Rainbow Boulevard and Torrey Pines Drive
503.1.271,Freeway,CC-215 WB between Rainbow Boulevard and Tenaya
506.2.271,Freeway,CC-215 EB between Tenaya and Rainbow Boulevard
503.2.272,Freeway,CC-215 WB between Tenaya and Buffalo
506.1.272,Freeway,CC-215 EB between Buffalo and Tenaya
504.1.273,Freeway,CC-215 WB between Buffalo and Cimmaron
222.2.285,Freeway,I-515 NB between Boulder Highway and Sahara Avenue
220.2.286,Freeway,I-515 SB between I-15 SB Boulder Off-Ramp and I-515 SB Boulder Hwy Off-Ramp
374.3.287,Freeway,I-515 NB between Boulder Highway and Viking Road
360.2.288,Freeway,I-515 SB between Viking Road and Boulder Highway
374.1.289,Freeway,I-515 NB between Boulder Highway and Viking Road
361.3.290,Freeway,I-515 SB between Dell Santos Drive and Viking Road
376.3.291,Freeway,I-515 NB between Dell Santos Drive and Mountain Vista Street
363.3.292,Freeway,I-515 SB between Denning Street and Mountain Vista Street
361.2.293,Freeway,I-515 SB between Dell Santos Drive and Viking Road
376.2.294,Freeway,I-515 NB between Dell Santos Drive and Mountain Vista Street
377.2.296,Freeway,I-515 NB between Mountain Vista Street and Denning Street
363.1.297,Freeway,I-515 SB between Denning Street and Mountain Vista Street
365.2.304,Freeway,I-515 SB between Sunset Road and Stephanie Street
442.2.340,Freeway,I-15 NB between 2.71 Miles south of Sloan Road and 3.71 Miles south of Sloan Road
427.2.340,Freeway,I-15 SB between 3.71 Miles south of Sloan Road and 2.71 Miles south of Sloan Road
443.3.342,Freeway,I-15 NB between 3.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road
428.1.342,Freeway,I-15 SB between 4.71 Miles south of Sloan Road and 3.71 Miles south of Sloan Road
443.2.343,Freeway,I-15 NB between 3.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road
444.3.345,Freeway,I-15 NB between 4.71 Miles south of Sloan Road and 5.71 Miles south of Sloan Road
429.1.345,Freeway,I-15 SB between 5.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road
445.3.346,Freeway,I-15 NB between 5.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
430.1.346,Freeway,I-15 SB between 6.71 Miles south of Sloan Road and 5.71 Miles south of Sloan Road
445.1.348,Freeway,I-15 NB between 5.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
371.3.397,Freeway,I-515 SB between College Drive and Appian Drive
547.1.400,On-Ramp,I-515 NB WagonWheel On Ramp between WagonWheel and I-515 NB
548.2.401,Off-Ramp,I-515 NB Horizon Off Ramp between I-515 NB and Horizon
552.1.402,Off-Ramp,I-515 SB NV Stateline Off Ramp between I-515 SB and NVStateline
371.4.402,Freeway,I-515 SB between College Drive and Appian Drive
553.1.403,On-Ramp,I-515 SB Boulder Hwy On Ramp between Boulder Hwy and I-515 SB
409.3.409,Freeway,US-95 SB between Cheyenne Avenue and Craig Road
589.1.410,On-Ramp,I-15 SB Craig Off Ramp between I-15 SB and Craig Rd
391.3.410,Freeway,I-15 SB between Smiley Road and Craig Road
576.1.412,On-Ramp,I-15 NB Craig On Ramp between I-15 NB and Craig Rd
371.2.393,Freeway,I-515 SB between College Drive and Appian Drive
631.1.496,Off-Ramp,I-215 SB Summerlin OffRamp between Sunset Road and Durango
599.2.497,Freeway,CC-215 WB between I-515 SB College Off Ramp and Lake Mead Boulevard
655.1.497,Off-Ramp,I-215 NB Lake Mead OffRamp between Sunset Road and Durango
378.1.301,Freeway,I-515 NB between Denning Street and Stephanie Street
351.3.317,Freeway,I-15 SB between Erie Avenue and Pyle Avenue
352.1.318,Freeway,I-15 SB between Barbara Lane and Erie Avenue
358.3.319,Freeway,I-15 NB between Erie Avenue and Barbara Lane
358.2.320,Freeway,I-15 NB between Erie Avenue and Barbara Lane
505.2.273,Freeway,CC-215 EB between Cimmaron and Buffalo
212.1.276,Freeway,I-515 SB between I-515 SB Charleston Off-Ramp and I-515 SB Charleston On-Ramp
